Timestamp,Object_ID,Centroid_X,Centroid_Y,Centroid_Z,Velocity_ms,Is_Static,Point_Count
151.17,65,-3.142,7.387,0.633,0.0,1,1132
151.24,73,1.953,9.648,0.638,0.81,0,939
151.27,68,1.002,9.274,0.641,0.0,1,658
151.24,68,0.98,9.246,0.633,0.0,1,757
151.27,76,0.01,8.784,0.625,0.0,1,815
151.24,76,-0.013,8.753,0.621,0.0,1,1232
151.27,65,-3.096,7.415,0.633,0.0,1,638
151.27,73,1.956,9.64,0.636,0.0,1,938
151.24,65,-3.113,7.362,0.632,0.0,1,1224
151.34,68,1.022,9.254,0.64,0.0,1,670
151.34,76,0.013,8.792,0.629,0.0,1,881
151.31,68,0.981,9.17,0.627,0.0,1,778
151.31,76,-0.004,8.718,0.62,0.0,1,1339
151.34,65,-3.078,7.439,0.639,0.0,1,765
151.34,73,1.977,9.632,0.629,0.0,1,943
151.37,68,1.026,9.238,0.639,0.0,1,669
151.37,76,0.027,8.769,0.628,0.0,1,916
151.37,65,-3.067,7.421,0.639,0.0,1,765
151.31,65,-3.089,7.337,0.632,0.0,1,1258
151.31,73,1.932,9.583,0.634,0.44,0,918
151.37,73,1.983,9.614,0.63,0.0,1,940
151.34,68,0.986,9.154,0.631,0.0,1,785
151.37,85,2.868,10.121,0.647,0.0,1,700
151.34,76,0.001,8.701,0.621,0.0,1,1377
151.34,65,-3.08,7.327,0.631,0.0,1,1292
151.34,73,1.93,9.566,0.633,0.0,1,920
151.37,68,0.956,9.122,0.63,0.0,1,805
151.37,76,-0.025,8.681,0.622,0.0,1,1411
151.54,68,1.056,9.217,0.633,0.0,1,688
151.37,65,-3.088,7.298,0.634,0.0,1,1371
151.54,76,0.037,8.825,0.635,0.0,1,1096
151.37,73,1.9,9.558,0.628,0.0,1,940
151.6,68,0.974,8.977,0.617,6.44,0,545
151.6,76,-0.0,8.569,0.614,3.87,0,756
151.6,65,-2.987,7.213,0.624,1.75,0,629
151.6,73,1.895,9.486,0.624,0.95,0,918
151.6,85,2.77,9.971,0.64,0.48,0,643
151.54,73,2.01,9.63,0.636,0.0,1,944
151.54,85,2.873,10.158,0.659,0.0,1,740
151.7,68,1.08,9.289,0.661,0.0,1,728
151.7,68,1.08,9.289,0.661,0.0,1,591
151.7,76,0.064,8.815,0.638,0.0,1,1377
151.7,76,0.064,8.815,0.638,0.0,1,1120
151.7,73,2.031,9.626,0.621,0.0,1,938
151.7,73,2.031,9.626,0.621,0.0,1,853
